author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/309028428/;Москва;sale;flat;9;14;1;38.5;7000000;Крюково;Зеленоград;к1524;Зеленоград — Крюково;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Денис Каргин;realtor;https://www.cian.ru/sale/flat/285374995/;Москва;sale;flat;6;6;1;29.5;6199999;Восточное Измайлово;Первомайская ;126;Первомайская;
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Москва;sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/288041113/;Москва;sale;flat;3;6;1;18.0;4650000;Чертаново Северное;Варшавское шоссе;125С1;Южная;
MR Group;developer;https://www.cian.ru/sale/flat/300288196/;Москва;sale;flat;3;49;1;39.37;19037954;Савеловский;;;Дмитровская;Симфония 34 ЖК
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/307810501/;Москва;sale;flat;75;95;1;57.0;47000000;Пресненский;набережная Пресненская;12;Деловой центр;Башня Федерация
Диана Тухбатуллина;realtor;https://www.cian.ru/sale/flat/307891819/;Москва;sale;flat;3;5;1;30.0;8390000;; Жемчужная;1к2;Филатов Луг;
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;Можайский;;;Давыдково;Веер ЖК
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/307987228/;Москва;sale;flat;1;9;1;37.7;7700000;Гольяново;Щелковское шоссе;19;Черкизовская;
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;139410000;Якиманка;;;Полянка;Лаврушинский ЖК
ID 46563849;unknown;https://www.cian.ru/sale/flat/308268862/;Москва;sale;flat;9;22;1;44.7;14500000;Лосиноостровский; Малыгина;12А;Медведково;
ID 497357;realtor;https://www.cian.ru/sale/flat/307664639/;Москва;sale;flat;2;9;1;31.8;11990000;Кунцево;Ельнинская ;22К1;Молодёжная;
Среда;developer;https://www.cian.ru/sale/flat/304761132/;Москва;sale;flat;9;30;1;31.03;14084827;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва;sale;flat;7;20;1;43.09;20252300;Даниловский;Автозаводская ;26;Тульская;FORST
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/300522888/;Москва;sale;flat;4;5;1;14.4;3450000;Перово; 2-я Энтузиастов;5;Авиамоторная;
КОРТРОС;developer;https://www.cian.ru/sale/flat/305005720/;Москва;sale;flat;20;49;1;40.62;18197760;Марьина роща;;;Марьина Роща;Тэйт ЖК
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Москва;sale;flat;15;28;1;40.0;30500000;Раменки;Винницкая ;8к3;Раменки;Настоящее
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/309080516/;Москва;sale;flat;7;12;1;35.0;8300000;Выхино-Жулебино;Ферганская ;11к1с4;Юго-Восточная;
TOUCH;developer;https://www.cian.ru/sale/flat/302838421/;Москва;sale;flat;7;13;1;45.3;27171760;Южнопортовый;;к2;Дубровка;Шампайн ЖК
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065733/;Москва;sale;flat;9;18;1;49.8;60432000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Оксана Гимишян;realtor;https://www.cian.ru/sale/flat/307280914/;Москва;sale;flat;2;12;1;38.7;15000000;Раменки; Улофа Пальме;3;Минская;
Пионер;developer;https://www.cian.ru/sale/flat/308640077/;Москва;sale;flat;3;11;1;55.8;52675646;Даниловский;;;Павелецкая;Опус ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Москва;sale;flat;18;22;1;43.0;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Hutton Development;developer;https://www.cian.ru/sale/flat/304286459/;Москва;sale;flat;2;6;1;48.3;95634000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
MR Group;developer;https://www.cian.ru/sale/flat/306603353/;Москва;sale;flat;3;36;1;36.7;30916850;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Москва;sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Sminex;developer;https://www.cian.ru/sale/flat/308620282/;Москва;sale;flat;13;28;1;36.3;22390000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307655528/;Москва;sale;flat;3;14;1;43.5;12000000;Марьино; Перерва;26К2;Марьино;
COLDY;developer;https://www.cian.ru/sale/flat/307965932/;Москва;sale;flat;2;15;1;30.8;26977720;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/308307056/;Москва;sale;flat;15;22;1;30.6;13600000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Мангазея;developer;https://www.cian.ru/sale/flat/308903193/;Москва;sale;flat;6;41;1;36.7;22431040;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Москва;sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
FORMA;developer;https://www.cian.ru/sale/flat/309009561/;Москва;sale;flat;3;27;1;32.07;22210238;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Москва;sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;Даниловский;;;Павелецкая;Хай Лайф ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Москва;sale;flat;9;20;1;39.74;16802072;Даниловский;Автозаводская ;26;Тульская;FORST
Донстрой;developer;https://www.cian.ru/sale/flat/308969450/;Москва;sale;flat;9;21;1;37.7;19905600;Лефортово;;;Площадь Ильича;Символ ЖК
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/305881394/;Москва;sale;flat;1;12;1;38.9;12690000;Таганский; Талалихина;3;Пролетарская;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304453140/;Москва;sale;flat;49;66;1;44.6;44154000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
Capital Group;developer;https://www.cian.ru/sale/flat/307771836/;Москва;sale;flat;12;18;1;53.4;62039716;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/299019831/;Москва;sale;flat;17;51;1;44.45;27000000;Пресненский;Шмитовский проезд;39с4.2;Шелепиха;Headliner
Sense Development;developer;https://www.cian.ru/sale/flat/298147602/;Москва;sale;flat;7;13;1;58.8;37642247;Даниловский; Даниловский Вал;1А;Тульская;Logos
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308805101/;Москва;sale;flat;4;6;1;35.1;23000000;Басманный; Покровка;38С1;Курская;
PIONEER;developer;https://www.cian.ru/sale/flat/306809960/;Москва;sale;flat;2;22;1;31.4;17903652;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/306709200/;Москва;sale;flat;15;15;1;40.6;11890000;;бульвар Веласкеса;3к3;Прокшино;
